Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,15.02B,9.65B,9.39B,10.54B,13.5B
Cash & Short Term Investments Growth,-,-35.77%,-2.68%,12.20%,28.15%
Cash Only,7.45B,5.22B,3.73B,4.29B,5.54B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,23.15%,10.88%,10.74%,10.62%,14.52%
Total Accounts Receivable,3.73B,4.72B,4.76B,10.33B,3.95B
Total Accounts Receivable Growth,-,26.74%,0.89%,116.80%,-61.73%
"Accounts Receivables, Net",3.73B,4.72B,4.76B,10.33B,3.95B
"Accounts Receivables, Gross",3.73B,4.72B,4.76B,10.33B,3.95B
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.60,1.34,1.44,0.71,1.88
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,530M,674M,561M,533M,1.48B
Miscellaneous Current Assets,530M,674M,561M,533M,1.48B
Total Current Assets,19.28B,15.05B,14.72B,21.4B,18.93B
"Net Property, Plant & Equipment",5.56B,5.83B,5.68B,5.7B,5.78B
"Property, Plant & Equipment - Gross",-,-,-,8.1B,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,2.54B,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,-,2.4B,-
Total Investments and Advances,3.94B,4.11B,4B,4.78B,4.94B
Other Long-Term Investments,3.94B,4.11B,4B,4.78B,4.94B
Long-Term Note Receivables,-,647M,744M,-,66M
Intangible Assets,30.57B,57.85B,57.42B,56.92B,56.88B
Net Goodwill,26.64B,48.1B,47.95B,47.94B,48.32B
Net Other Intangibles,3.93B,9.75B,-,-,-
Other Assets,5.54B,5.18B,4.87B,5.14B,6.43B
Total Assets,64.89B,88.66B,87.44B,99.18B,93.02B
Total Assets Growth,-,36.64%,-1.38%,13.43%,-6.21%
