Item,30-Apr-2021,31-Jul-2021,30-Sep-2021,31-Dec-2021,30-Apr-2022
Cash & Short Term Investments,880.23M,809.29M,604.65M,601.43M,138.73M
Cash & Short Term Investments Growth,-,-8.06%,-25.29%,-0.53%,-76.93%
Cash Only,880.23M,809.29M,604.65M,601.43M,138.73M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,7.42%,6.84%,5.10%,4.93%,1.16%
Total Accounts Receivable,804.83M,803.88M,931.76M,782.79M,957.8M
Total Accounts Receivable Growth,-,-0.12%,15.91%,-15.99%,22.36%
"Accounts Receivables, Net",779.41M,786.54M,857.23M,698.5M,864.66M
"Accounts Receivables, Gross",789.56M,796.81M,867.55M,708.66M,876.84M
Bad Debt/Doubtful Accounts,(10.15M),(10.27M),(10.32M),(10.16M),(12.18M)
Other Receivable,25.41M,17.34M,74.53M,-,-
Accounts Receivable Turnover,4.14,3.30,2.81,3.06,3.52
Inventories,4.48B,4.43B,4.45B,4.66B,4.78B
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,4.48B,4.43B,4.45B,4.66B,4.78B
Other Current Assets,149M,180.59M,174.41M,232.25M,182.4M
Miscellaneous Current Assets,149M,180.59M,174.41M,232.25M,182.4M
Total Current Assets,6.31B,6.22B,6.16B,6.28B,6.06B
"Net Property, Plant & Equipment",3.84B,3.91B,4B,4.2B,4.26B
"Property, Plant & Equipment - Gross",6.1B,6.22B,6.35B,6.6B,6.73B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,2.26B,2.3B,2.35B,2.4B,2.47B
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,1.67B,1.66B,1.65B,1.64B,1.64B
Net Goodwill,994.53M,994.14M,994.56M,993.74M,993.82M
Net Other Intangibles,672.46M,665.19M,658.55M,-,-
Other Assets,47.83M,43.4M,52.18M,73.65M,53.19M
Total Assets,11.87B,11.84B,11.86B,12.19B,12B
Total Assets Growth,-,-0.25%,0.21%,2.78%,-1.57%
